cleaned_content,sentiment
aplikasi trans jakarta membantu sekali dalam hal mencari rute perjalanan,1
kembangkan terusan. jempol ke atas,1
mantap. succes terus berkarya,1
saya padahal baru 1 pesanan. mau pesan lagi di bilang sudah 6x pesanan. developer ap padahal banyak yang jago. ini kayak pekerjaan anak magang.,0
terbaik jempol ke atas,1
qris tidak muncul,0
4k bergerombol ke arah kejaksaan agung. di tengah kosong. manajemen operator checker nya bagaimana ya ? konyol bin kocak. kenapa tidak 5 atau 10menit di lepas ! bukannya bergerombol konvoi.kasihan penumpang pukul 21.30 anak² dan lansia terlantar ! tolong operator 4k ! anda semua bisa keeja tidak !,0
mantap,1
mantul,1
aplikasinya sangat mudah di gunakan bagi yang mau pakai transjakarta bagi kaum mageran dan mageran bisa banget pakai aplikasi ini,1
ok.cuy,1
"aplikasi sedang dalam kondisi bagus,mudah²an seterusnya",1
"terima kasih yang sudah menciptakan aplikasi ini,kmna mana jadi lebih gampang buat yang tidak ada kendaraan, tranformasi nya juga cepat tidak lelet fitur fitur di aplikasi ini juga mudah dimengerti dan banyak",1
"saya sudah berapa kali menggunakan aplikasi dalam melakukan pembayaran ada saja kesalahan, sudah di bayar berhasil dalam setatus di sama-banking tapi di aplikasi belum muncul juga tiket yang di beli, dan mudah sekali terdapat kesalahan dalam pembelian padahal di pencarian rute sudah di ketik mohon untuk di perbaiki lagi aplikasinya.",0
lebih nyaman dan enak. apalagi kalau ada resto mya,1
"sangat baik, mudah menggunakannya",1
layanan baik,1
"aplikasi ribet , susah banget daftarnya !",0
"baru kemarin saya perbaharui applikasinya, masa sekarang harus di uppdate lagi. cepaat sekali",0
"kenapa sering error orang tepuk jidat orang tepuk jidat orang tepuk jidat ,bayar pakai ovo sudah kepotong saldo tapi cek tiket kok belum ada notif melipat tangan melipat tangan melipat tangan",0
terimakasih,1
"aplikasi sangat bagus, memudahkan saya melakukan perjalanan ke jakarta. wajah tersenyum lebar wajah tersenyum lebar dan mata tertutup",1
manteb,1
bagus,1
"membantu banget pas buru-buru ke kantor, bisa lihat bus sudah sampai mana dan kira-kira berapa menit lagi",1
sangat membantu kemudahan rencana perjalanan,1
mantap,1
setelah di update malah makin lemot,0
sesuai & professional,1
"mudah, cepat, flexibel dan aman melipat tangan",1
belum coba,1
"aplikasi sampah setelah pembaruan malah pas masuk menu pembayaran terus2 blank.kalau ada bintang setengah sudah saya kasih bintang setengah,ini kenapa saya jadinya tidak bisa beli tiket",0
pelayanan mantab,1
update mulu tapi aplikasi tetap jelek,0
tidak banget kalau loading itu jangan lama lama time out mulu jadinya kehabisankan hdeh percuma war tidak ada guna orang apknya lemot terus gjelas,0
harga tiket mahal mahal banget dari pas senen ke gombong saja kok yang di tawarkan tiket surabaya,0
keren,1
"pemesanan selalu waktu pemesanan sudah habis, saya sudah isi secepat2nya selalu notif begitu berulang2 bagaimana ini?",0
"ini aps oke membantu, tapi sangat tidak efektif. kenapa tidak seperti tje saja yang satu qr untuk semua halte.",0
tidak dikirim otp2,0
"sangat mudah , terima kasih .",1
"aplikasinya bermasalah mau bikin akun repot banget malah haus upgrade ke member besic biar bisa belinya satu boking , tidak jelas",0
luar biasa aplikasi akses kai,1
keren,1
jempol ke atas,1
ok,1
"tidak recommended, perlu di tingkat kan lagi, lemot loading terus menunggu jangan beli tiket pakai aplikasi ini",0
"sumpah ini benaran tolong aplikasinya segera diperbaiki. sekelas kai acses kayak begini. sudah ditunggu tidak tidur tapi tetap load ujung2nya time out, terus dicoba terus jadwal tidak ada, ujung2nya kehabisan kursi terus dicoba lagi tetap time out. terus mau lo bagaimana sih. ini parah banget sumpah",0
sangat membantu,1
"bagus dan keren sih aplikasi transjakarta ini, memudahkan perjalanan dan jadwal bus selalu update ini real time. maju terus buat transjakarta ya",1
sampah,0
baru kali ini mencoba aplikasi ini semoga amanah,1
joz,1
"tiket harganya murah, sangat membantu",1
sangat membantu,1
service bagus,1
sudah asyik berkereta,1
"kecewa banget sama apknya misal gajadi naik gara-gara aplikasi nya sendiri yang jelek minimal uang yang dibayar itu bisa dikembalikan dana kayak di kai pay nya, intinya aplikasi ini mengajarkan kalau tiket hangus ya uang pembayaran tiket ya hangus juga walaupun tidak seberapa tapi tidak wort itu banget",0
bagus cepat,1
sangat membantu sekali dengan kai akses via online wajah pesta wajah pesta wajah pesta,1
"jelek banget masa mau pesan tiket tulisannya timeout terus sampai kehabisan tiket aku nya, di membela-bela tidak tidur, perbaiki bugnya!",0
"aplikasi transjakarta ini sangat membantu saya, karena bisa cek rute dan sebagainya, wajib download sih ini biar gampang api api",1
"tidak jelas banget masa tiap hari harus update aplikasi, perbaiki lah, masa update terus.",0
ok,1
mudah dan keren,1
mantap,1
busuk sering terjadi transaksi tinggi,0
terlalu sering pemulihan aplikasi jadi mengganggu kalau lagi mau cek tiket dan pesan tiket,0
ribet banget segala keluar sendiri.lupa sandi tidak bisa.bntuan wa lama banget tidak guna,0
bagus,1
baik,1
praktis dan cepat,1
bagus,1
baik,1
"ayo dong sudah war tiket ini, kenapa error aplikasinya",0
"mau daftar malah bug tidak jelas banget, dari pagi di daftarin sampai siang tidak bisa bagaimana sih !",0
"terimakasih, aplikasinya sangant membantu.",1
"aplikasi tidak jelas, meminta upgrade, sudah diisi eh bilang usah upgrade, tidak bisa pesan tiket, dulu2 bisa, sekarang tidak",0
"aplikasi bapuk, sering kali merasakan sudah mulai antri dari jam 00.00 dan sudah terlanjur isi kai pay ujung""nya time out mulu dan tiket sudah habis. lebih manusiawi antri seperti dulu beli tiket di stasiun.",0
"saya sangat puas dengan aplikasi transjakarta! antarmuka yang intuitif, informasi jadwal dan rute lengkap, serta update real-time sangat membantu perjalanan saya sehari-hari. aplikasi ini benar-benar mempermudah mobilitas di jakarta.",1
mantap,1
mudah dan informative dalam penggunaannya,1
"aplikasinya benar"" membantu memudahkan saya dalam merencanakan perjalanan. antarmukanya yang user-friendly dan informasi real-time tentang jadwal bus sangat membantu. fitur pelacakan bus nya juga membuat saya lebih tenang saat menunggu. terimakasih transjakarta untuk pengalaman yang lebih baik",1
ok,1
"ini kenapa ya sudah upgrade dari member default ke member basic meminta upgrade terus aplikasinya, jadi akun saya di freeze selama sejam",0
sangat bagus,1
"aplikasinya tidak jelas masa mau ngebatalin tiket saja ribet amat orang pesan buat orang tua terus mau, dibatalkan eh ribet amat inilah itulah. tidak jelas, kecewa.",0
sangat mudah jadi seba canggih,1
jadi mudah kemana kemana dan pastinya lebih praktis,1
keren . simpel . dan membantu. sering mengadakan event di jis ya min terima kasih jempol ke atas jempol ke atas jempol ke atas,1
"keren banget gampang juga pesennya, kemarin beli yang grup buat 4 orang jadi bisa naik mrt bareng teman-teman tanpa harus punya kartu",1
"transjakarta jadi andalan gue buat keliling jakarta. tarifnya cuma rp3.500, sudah ber-ac, rutenya luas, dan lumayan tepat waktu. kadang memang rame pas jam sibuk, tapi tetap nyaman dan hemat. cocok buat yang mau ngurangin macet dan irit ongkos!",1
aplikasi bagus dan sangat membantu untuk akses kereta api yang saya inginkan.,1
sangat membantu,1
"setiap kali ke kota, aplikasi ini sangat memudahkan saya dalam menemukan halte terdekat, anti ribet juga praktis sekali.",1
"sudah top up 2× , tapi setelah di cek menu tiket tidak ada riwayat",0
mantap jos,1
"mantap kai. tambah maju, tambah berjaya",1
"sangat menyenangkan naik kereta api, saya sangat merekomendasikan",1
kenapa harus login lagi padal sudah login jadi kesel tapi pup tidak bisa jelek banget aplikasi tidak kepake data an sudah pakai nama sediri hilang harus pakai sandi lama lupa lagi giliran sandin sudah bisa topup nya tidak bisa mohon resepn dan bantuan nya,0
mantap,1
"aplikasinya sangat mudah digunakan, tapi untuk kedepannya tolong ditambahkan lagi metode pembayarannya agar bisa juga menggunakan gopay atau dana",1
jempol ke atas,1
"tak perlu antri lagi, cukup datang cetak tiket.",1
sangat membantu,1
bagus sekali,1
mudah tidak ribet top dah,1
bagus dan akurat.top,1
semoga memberikan kontribusi yang sangat baik,1
sudah ugfrade member basik masih saja tidak bisa scane kode atau isi saldo,0
mempercepat proses pembayaran tiket,1
sangat membantu,1
"apaan anjir, awak deh pencet tanggal terus keterangannya tiket not found padahal di hp teman saya ada tapi di hp saya tidak ada, aplikasi personal anjir, ah elah kecewa aku cok, apaan ini error apa bagaimana anjir kesel gue, sudah ada deadline hari itu tapi tiket habis padahal sudah standby duluan tapi pas di pencet keterangan tiket not found ah bodo, perbaiki dulu itu blitar ke stasiun blimbing malang woi",0
"baru mau mencoba sih, bismillahirrahmanirrahim",1
aplikasi transjakarta sangat mudah digunakan dan memiliki fitur-fitur unggulan yang membantu saya merencanakan perjalanan dengan lebih efisien!,1
aplikasi yang keren untuk naik angkutan umum,1
mantap,1
"aplikasi ini sangat membantu untuk berpergian di jakarta. tampilan aplikasinya simpel dan mudah digunakan. informasi rute dan jadwal busnya cukup akurat, jadi saya tidak perlu bingung merencanakan perjalanan di jakarta.",1
"aplikasi transjakarta sangat membantu saya, navigasi nya bagus,rute selalu di update.mantap pokoknya jempol ke atas warna kulit cerah-sedang",1
mantaf,1
mudah kali,1
membantu,1
bagus job,1
"ini kenapa aplikasi nya sekarang jadi aneh, mau pesan tiket antar kota kok ""tiket tidak ditemukan"", biasa nya 5 hari sebelum ke tanggal yang mau kita pesan masih aman aman saja, sekarang kok tidak bisa? diperbaharui bukan nya bagus, malah makin hancur ini aplikasi.",0
aplikasi keren jempol ke atas warna kulit cerah jempol ke atas warna kulit cerah,1
aplikasi yang sangat memudahkan dan sangat membantu untuk informasi rute layanan dan fasilitas di transjakarta the best! tingkatkan terus kenyamanan untuk pelanggan jempol ke atas,1
sangat buruk. saya sudah bayar pakai qris tapi tiket tidak muncul. sudah komplain lewat ig dan stasiun terdekat tidak ada respon. mencoba tidak langsung bayar saya scrinsot dulu barcode nya masih tidak muncul tiketnya tidak ada tulisan menunggu pembayaran. terus bagaimana apa tidak boleh pesan tiket. geram sekali saya,0
"makin canggih, bagus jempol ke atas",1
banyak bug nya,0
cepat praktis,1
semakin baik,1
tidak bisa login.loading terus pas habis ngisi username sama password di menu login.,0
"pengalaman saya tranfortasi kai sangat membantu sekali kelancaran perjalanan yang sangat memuaskan,pelayanan rapi dari petugas nya.",1
aplikasi kai akses sangat memudahkan beli tiket kereta api wajah gembira dengan mata bahagia,1
"aplikasi error terus , masak iya jadwal tidak di temukan terus",0
lebih ramah lagi,1
aplikasinya error mulu.,0
jak lingki ap memang mantap.! sangat bermanfaat. jempol ke atas jempol ke atas jempol ke atas terima kasih jak lingko. melipat tangan warna kulit cerah melipat tangan warna kulit cerah melipat tangan warna kulit cerah,1
"akses lambat, sudah dapat kursi, tinggal bayar, lambat proses, akhirnya kehabisan, padahal pakai kaipay",0
dari awal muncul sampai sekarang metode pembayaran tidak bertambah. bukannya mempermudah malah semakin tidak jelas.,0
lelet,0
"topup kai pay saldo tidak masuk, sudah instal kaspro tapi tetap tidak masuk,",0
"sangat terbantu dengan aplikasi ini, hanya saja banyak halte yang kurang memadai. masuk bisa keluar indak bisa, itu yang sangat sering saya alami",1
aplikasi nya sudah saya daftar saya tekan ke profil tidak bisa masuk ke apknya,0
"aplikasi tidak guna. beli harus promo.tidak ada pilihan lain disuruh update data.pas diisi tidak mau karena sudah dipakai sama no lain.coba login pakai no lain katanya passwords sudah beda.click lupa password tidak jalan.coba pakai password yang aaya ingat tidak ada yang benar. kacau.ini kayak marketing kibul2.jual cuma bilang-bilangmaaf kalau mau beli harus sudah daftar dulu di hari kemarin.ini form pendaftarannya dikeluarkan hari ini""",0
"merencanakan perjalanan mjd lebih mudah, dengan kak perjalanan nyaman & aman",1
"sudah punya akun tapi lupa kata sandi, mau ubah sandi tidak bisa, buat akun baru tapi pas pemesanan tiket tidak bisa ada nama dan nomer ktp yang lama karena sudah nyangkut di akun yang lupa sandi",0
menambah bagus,1
"keren,sangat membantu",1
"kenapa ya, bus tujuan bintaro - belum sama tidak ada di ap. jadi tidak bisa estimasi menunggu di halte berapa lama. tolong untuk di cek secara berkala gps yang ada di setiap bus. terima kasih.",1
semoga bermanfaat untuk semua anggota di lapangan,1
ok,1
keren,1
"aplikasi transjakarta sangat membantu buat aku yang sering naik bus jadi tau jadwal bus nya terus juga tau harus berenti di halte mana saja,tampilan aplikasi nya juga enak jadi gampang mengerti nya",1
"kalau misalkan aplikasi tidak dipakai, lebih baik di nonaktifkan saja di playstore. menyusahkan saja. tidak ada pemberitahuan juga",0
terbaik,1
mantap,1
setelah update malah metode pembayaran nya cuma 2 opsi ewallet dan 1 bank. mana tidak umum tuh ewallet nya. ayolah tambahkan. malah malas naik mrt,0
sangat membantu,1
lebih bagus yang versi lama,0
nice,1
aplikasi nya tidak jelas parah banget mempersulit orang,0
tolong kalau pas update jangan pas siang hari soalnya lumayan mengganggu dan kalau sedang update tolong di kasih keterangan waktu,0
bagus jempol ke atas,1
"sangat bermanfaat untuk pengguna transportasi jakarta,mantaaap",1
bagus,1
terimakasih kai,1
"pemesanan tiket mudah,perjalanan kereta nyaman, cepat, tepat waktu",1
aplikasinya berjalan stabil. thanks tapi kai.,1
bagus,1
mudah & membantu,1
"cepat, tepat dan aman",1
ya allah aplikasi jahat banget. menunggu dari jam 23.50 sampai jam 03.00 tidak ada jadwal. biasanya jam 00.00 sudah ada jadwal baru. jam 03.10 baru muncul jadwal tiket tinggal bayar failed terus bayar pakai kai pay. tiba-tiba keluar aplikasi. transaksi hilang pas mengetik tujuan lagi tidak ada jadwal lagi. padahal nanti masuk pagi jam 5 sudah berangkat wajah tersenyum dengan air mata,0
"dengan aplikasi transjakarta ini tidak perlu khawatir lagi bakal ketinggalan bus, informasi jadwal bus akurat dan bus datang tepat waktu",1
bagus pelayanannya,1
mantap,1
"bagus banget, aplikasinya berisi informasi yang jelas dan dapat dimengerti",1
memudahkan pemesanan tiket,1
"aplikasi kai akses sangat berguna sekali untuk pemesanan tiket kereta, terima kasih kai akses",1
"sekatang kereta tepat waktu dan bersih semua sarana stasiun cukup bersih,lanjutkan",1
sering delay parah sampai ketinggalan kereta,0
"pelayanan di kai akses mudah dan cepat, perjalanan dengan kereta lebih nyaman",1
"ujung ujungnya jualan aplikasi. tolong driver jaklingko tidak ada yang rekom, sepertinya lebih baik driver kopaja, lebih mnghargai penumpang, bukankah jaklingko untuk mlayani masyarakat walopun gratis, kita naik jaklingko memng gratis tapi bukan berarti pelayanannya seenaknya sendiri, ugal ugalan, tak ramah, sering tidak mau naikan penumpang! jadilah orang indonesia yang baik, melayani dengan ikhlas. !",0
mudah,1
mantap sangat membantu sekali meliat kedatangan busway dan jaklingko,1
"merasa sangat kecewa dengan pelayanan &aplikasinya, giliran mau cancel tiket setengah mati ngurusnya dicancel jauh2 sebelum berangkat pakai aplikasi error, via telp customer servis tidak bisa harus datang langsung ke stasiun mana jauh dari stasiun tinggalnya, sudah di stasiun tetap tidak bisa, karena sudah mepet malah akunnya dibilang harus upgrade premiun alias berbayar.kesel banget asli !",0
sangat berguna / membantu aktifitas se hari-hari melipat tangan melipat tangan melipat tangan,1
iya bagus,1
jelek ketika mau bayar malah close aplikasi hadeh,0
fateh sarah sofia poniman papa,1
"mode pembayaran bank nya tambahkan dong, masa blu doang",0
"lelet sekali, jadi telat krja., banyak melipir macet. suka error apknya",0
top up tidak masuk masuk moai,0
"saya kehilangan barang di bus 3d taman kota tujuan penjaringan, pas saya turun di halte terahir penjaringan harusnya barang itu masih ada karena penumpang semua turun dan saya posisi terahir turun,. setelah saya tunggu barang itu tidak ada di tempatnya sedangkan tidak ada penumpang lain selain supir dan bus tolong tj apabila apabila kayak begini berarti antara sopir ada oknum yang mengambil kesempatan yang tidak bertanggung jawab, sudah mengadu ke cal center tidak ada respon.",0
tes dulu,1
. .,1
under maintenance mulu,0
aku selalu naik kai kalau mudik guys,1
aplikasi yang sangat berguna,1
praktis,1
keren banget ya sekarang. mau kemana mana tinggal cek aplikasi transjakarta. jadi memudahkan saya bepergian,1
bagus jempol ke atas melipat tangan .,1
lebih nyaman dan praktis kalau pesan tiket,1
kenapa tidak bisa rescedul atau dibatalkan min. kok makin aneh nih kai ada apa min?,0
ternyata jelek semua penilaian nya terpaksa uninstall,0
ok,1
bagus xixi,1
"stasiun nya bersih, ruang tunggunya nyaman",1
ok banget,1
aplikasi sangat bagus dan memudahkan bagi para pengguna lain,1
top,1
sangat membantu mobilitas sehari² terutama di jakarta yang ingin berpergian dengan aman dan nyaman,1
baru mau coba,1
powerful,1
"isi ktm tidak masuk, tapi saldo kaspro 40.000 tinggal 8.000",0
mantap transjakarta semoga semakin maju dan sejahtera karyawannya,1
the best kakak wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia,1
baik,1
bagus,1
ok,1
keran,1
mudah dan siple,1
aplikasinya mantap mempermudah pengguna buat pesan tiket,1
aplikasi nya error,0
"suka banget, aku keliling"" jakarta pakai aplikasi ini senang banget murah terus gampang banget buat pembayaran nya. aplikasinya juga memudahkan buat cari halte sama rute terdekatnya wajah tersenyum lebar bermata hati jempol ke atas",1
reliable,1
aplikasi yang sangat membantu untuk pemesanan tiket kereta yang terpercaya.tq,1
favorit hati membesar,1
maksimal,1
aplikasinya sangat membantu sekali dan mudah untuk di pakai,1
sangat memuaskan dan bikin hati senang gembira,1
suka error waktu pembayaran sama top up,0
mau registrasi saja dalam perbaikan mulu gabagus sudah lemot akses nya . padahal kuota gua ada sinyal kencang ajelas banget ap,0
mau upgrade basic tidak bisa error terus,0
sekarang tambah jelek banget. pakai masa antrian pas masuk search jadwal kereta.,0
aaplikasinya bagus banget!,1
"saya daftar dengan nomor telepon. lalu diminta lagi email . 3 email saya masukkan. satupun tidak diterima. daftar ulang . dengan memasukkan email terlebihbdahulu. dilanjutkan input no telepon. tertulis nomor telepon sudah digunakan. kembali input melalui no telepon terlebih dahulu. tetap saja email tidak bisa diinput. coba hapus akun. dengan harapan bisa daftar ulang. eh ternyata hapus permanen. no telepon.tidak bisa digunakan lagi. padahal itu no telepon satu2nya. yang sudah terinstal dengan mobile banking, email, dan segala sistem.",0
bagus sekali tambah canggih simple jempol ke atas jempol ke atas jempol ke atas,1
ok,1
"bagus sekali pelayanan nya, dan petugas nya ramah-ramah",1
"aplikasi ini kayak sahabat sejati di jakarta! mau kemana tinggal cek rute, bus-nya sudah sampai mana, semua kelihatan. serius deh, hidupku yang tadinya penuh drama menunggu tj sekarang lebih damai. thank you transjakarta, kamu bukan cuma bus. kamu harapan. bus berkilau",1
"makin leg, tiap cari tiket jadwal tidak di temukan troos padahal sudah jls ada",0
ok,1
sekarang tidak bisa ya bayar lewat shopipay,0
terbaik,1
"aku yang suka bepergian suka banget pakai aplikasi ini. penggunaannya gampang dan user friendly. bagus job deh buat transjakarta, semoga bisa dikembangin lagi",1
download mudah dan registrasi mudah best ap,1
mantap proses cepat,1
experience is bagus,1
benci banget gue error mulu,0
saya menggunakan tranportasi transjakarta sangat enak&nyaman,1
kok saldo gue dari 16000 tinggal 800? kenak biaya admin kah?,0
mantap,1
tiket tidak muncul setelah pembayaran. baiknya fitur pemesanan kak lokal di tambahkan fitur cancel dan refund ya.,0
terbaik,1
pertama kali menggunakan bukannya dipermudah malah dipersulit dan buang2 waktu. saya download dari halte pada.pinang - gor sumatri dan sudah payment menggunakan qris. tapi di pintu keluar gor sumatri aplikasi tidak keluar kode barcode malah saya disuruh ke halte grogol 2 wajah terlalu lelah padahal lagi bawa anak-anak dikira akan dipermudah tapi pelayananya lama cukuuup tau deh,0
ok,1
"ini aplikasi birokrasi banget cara kerjanya, banyak meminta instal aplikasi lain. padahal cukup instal satu aplikasi saja bisa banyak guna dan manfaat.",0
is the best,1
ok,1
aplikasinya sangat membantu. keren lah,1
"tinggal pembayara selalu timeout, ketika di refresh tiket sudah habis",0
"bagus sih jadi lebih mudah untuk pembelian tiket,tapi kenapa sekarang pemeliharaan kebersihan sama fasilitas ac di gerbong kereta jadi menurun ya tolong tetap diperhatikan untuk pelayanan dan pemeliharaany agar lebih nyaman untuk penumpang terimakasi",0
ganti jadi akses by kai jadi sulit mengerikan,1
"error mulu, awalnya ""jadwal tidak ditemukan"", lalu pas sudah ketemu malah problem di pembayarannya, tidak bisa connect ke ovo/shopepay/qris, kursi nya juga berubah² sendiri, makin lama makin jelek saja ini aplikasi, bukannya makin lancar, payah banget",0
baik,1
lancar,1
ok,1
sangat membantu untuk solusi perjalanan yang tepat waktu,1
per 1 juli makin dipersulit dan waktunya uninstall karena metode gopay dan ovo sudah tidak tersedia.,0
aplikasi error jangan dipakai,0
"aplikasi error banget dan loading lama padahal sinyal bagus, setiap kali beli tiket lokal selalu tidak ada jadwal, tiket lokal kak dhoho sulit banget pembeliannya untuk jarak yang paling jauh tapi kalau beli buat jarak dekat pasti ada jadwal yang tertera bikin emosi saja pas buat beli tiketnya. saya harus beli tiket 2 kali biar tiket yang pertama saya beli muncul, memang harga tiketnya murah tapi kalau begini terus buat apa saya buang-buang uang buat bayar double tiket. dua kali saya beli tiket harus beli ulang lagi",0
"sudah capek"" login harian buat kumpulin koin yang hijau bisa di tuker pulsa eh malah di updet sekarang jadi tidak ada koin harian nya di tambah sekarang tidak bisa di tuker koin hijau nya ! kalau ujung"" begini mah tidak usah di mengadakan koin hijaunya belooon benar developer nya ! sudah aplikasi ngeleg mulu ! jangan download entar menyesal !",0
"pantesan jelek banget rating nya, jangan top up kaipay. tidak bisa dipakai",0
baik dan cepat,1
sangat berguna,1
ok,1
mantap,1
kuntul,1
cepat akses,1
keretanya bagus-bagus juga pasilitasnya juga dengan sekali pesan tiket kai .,1
bagus,1
"sudah 2 kali bayar kereta saldo berkurang tapi tidak muncul tiket. setelah diupdate aplikasinya juga makin jelek, loading terus waktu lihat jadwal kereta, mau pesan saja tulisan nya time out terus. padahal sudah di bela-membela begadang",0
sangat membantu,1
aplikasi tidak jelas,0
beli tiket mudah,1
tidak bisa di pakai malah pas mau ke pembayaran loading tidak kelar2,0
cepat,1
aplikasi gila. sudah terlanjur isi saldo eh tidak bisa buat pesan tiket. .mau buat beli pulsa malah hilang fitur pulsanya. habis update malah konyol aplikasi ini,0
perlu terus ditingkatkan untuk maps posisi bus nya,1
aplikasi meminta tolong diperbaiki lagi karena sering gagal log ini tidak bisa booking tiket dikarenakan batas waktu (time out),0
memudahkan mecari tiket kereta api,1
sangat bagus,1
proses cepat,1
sangat membantu,1
payah mau pesan tiket jis error terus sudah 15 jam pantengin tidak dapat.,0
mudah dan cepat,1
terlalu sering terjadi error pada aplikasinya,0
mantap,1
"semakin mantap, canggih, nyaman, tepat waktu dan tak ribet saat pesan tiket ataupun pembatalan tiket. pokoke 2 jempol deh buat pt kai. sukses selalu ya. amin.",1
aplikasinya bagus & mudah di gunakan,1
"daftar penumpangnya kai akses tambah lagi dong, masak maksimal cuma 4 sekali transaksi. tambahkan lagi biar bisa satu kode booking untuk banyak penumpang, biar tidak bolak balik transaksi. pembatalannya juga biar gampang",0
"aplikasi ini sangat memudahkan mencari track untuk pemula yang mau naik tj, fiturnya juga oke dan sangat membantu, mantap",1
"makin update tambah lemot. mau pesan tiket kak jadi gaak jadi gara"" lemot . haduuuh",0
bagus,1
ok,1
bersih,1
aplikasinya lemot parah masa kirim otp butuh pendaftaran butuh lebih satu hari baru bisa ke kirim.,0
mantap keren banget banyak manfaat,1
"saya kecewa dengan pelayanan kai karena tiket anak saya ditolak boarding gara-gara salah isi nik, padahal dari 2 tiket yang dewasa sudah benar, yang anak-anak salah kode nik tapi tidak bisa boarding ikut orang tuanya. seharusnya di awal pada saat pemesanan sudah difilter dulu apabila nama dan nik tidak sesuai tidak bisa melanjutkan booking",0
ok,1
"suka banget sama aplikasinya, memudahkan banget buat aku wajah tersenyum dengan 3 hati wajah tersenyum dengan 3 hati wajah tersenyum dengan 3 hati",1
sedih tidak pernah bisa buat akun basic. susah banget kode otpnya sudah ke kirim ke email tapi pas di memasuki tidak bisa dari dulu begitu tolong diperbaiki,0
"layanan cashbacknya bermasalah dari november 2024, tiap ditanya jawaban selalu sedang maintenance. lama juga ya maintenance-nya",0
naik kereta api sekarang lebih nyaman dan fasilitas kelas ekonominya juga bagus dan yang tidak kalah penting adalah adanya aplikasi akses by kai sangat membantu konsumen dalam pemesanan tiket kereta sesuai jadwal keberangkatannya thankyou kai,1
bagus,1
jelek banget tidak bisa dibuka,0
"layanan cukup nyaman,",1
"bagus, mempermudah membeli tiket",1
sampah,0
mana ini mau daftar tidak bisa kode otp tidak dpt2 tidak berguna,0
"setiap bepergian saya selalu memakai ini karena mudah, praktis dan tinggal klik satset jempol ke atas",1
"bagus banget aplikasinya, mempermudah pemesanan untuk naik mrt dan krl di jakarta",1
baru pakai wajah agak tersenyum,1
bagus ap,1
aplikasi tidak jelas. mencari rute tidak ditemukan padahal jelas² ada jaklinko,0
membantu banget rute dan jadwalnya lengkap,1
"tidak jelas, disuru upgrade terus. kalau tidak upgrade tidak bisa pesan tiket krl nya. pokoknya kecewa deh, harus upgrade berkali²",0
gangguan mulu . aplikasi sampah,0
"kurang efisien untuk metode tiket jakarta hajatan di jis, sehaursnya di hari h, dan juga di aplikasinya selalu error",0
bagus,1
"kenapa aku tidak bisa jadi member ya, padahal sudah berkali kali coba loh",0
aplikasi error system terus. mau beli tiket saja sering keluar sendiri,0
"aplksi sangat bagus, tidak pusing melihat rute² jalan, mempermudah transportasi dan recomen banget buat perjalanan kekantor²",1
transjakarta memang top luar biasa jempol ke atas jempol ke atas jempol ke atas,1
"saldo saya di kai tiba-tiba hilang, padahal cuma keluar sebentar lalu masuk lagi",0
mantab,1
"aplikasi ini sangat amat menudahkan saya,untuk berpegian yang lebih hemat biaya sangat suka dan gampang banget fitur nya juga lengkap",1
kai mantap,1
"aplikasi error mulu deh, ayo perbaikannya.",0
ini salah satu aplikasi terbaik yang bermanfaat untuk masyarakat umun,1
baguuuus banget,1
mungkin proses pembelian tiketnya bisa dipermudah dengan tanpa perlu menentukan tujuan seperti aplikasi transjakarta dulu,0
"aplikasi selalu mengalami kendala server, mohon di perbaiki servernya",0
ok,1
mantap,1
"transjakarta membantu saya dalam membantu keberangkatan dan pulang kerja,dengan aplikasi ini saya jadi lebih tau jadwal dan rute dari transjakarta",1
aplikasi pesanan tiket sering trouble,0
sampah,0
aplikasi yang bagus,1
baik,1
pelayanan cukup baik,1
bagus dan transparan,1
ok,1
aplikasinya mah bagus-bagus saja yang tidak bagus sistem refundnya lelet. sudah bikin aduan pengembalian dari jam setengah 8 sampai sekarang belum ada duit balik padahal bukti sudah jelas wajah menangis keras,0
sangat membantu,1
"aaplikasi kntut, masuk susah banget",0
keren prosesnya cepat dan pasti,1
"mantap, aplikasi yang baru ini sudah bisa traking seluruh armada transjakarta dan mikrotrans realtime, walaupun terkadang masih ada beberapa yang kurang pas posisi nya karena gps setiap kendaraan memiliki kemampuan berbeda. tapi sudah cukup untuk saat ini. mungkin kedepan bisa bekerja sama dengan aplikator pendukung pembayaran lain nya dan bank sehingga banyak pilihan metode pembayaran nya.",1
bagus,1
ok,1
"banyak bug tidak jelas, ngelag pas beli tiket, tidak bisa pembayaran, tiket hilang padahal sudah di bayar dan belum dipakai",0
tidak bisa isi email,0
sarana dan prasarana serta sdm yang sangat menunjang,1
mantap,1
excellent banget,1
"perbaiki layanan dong. pembayaran via qris, ovo dulu kok susah amat heran. biasa lancar juga",0
sangat membantu,1
belum coba semoga saja aplikasinya bisa mempermudah perjalanan wajah tersenyum dengan mata bahagia jempol ke atas,1
tolong lah rute monas pulogadung kalau malam di tambah lagi bisnya masa rute blok sama- kota lewat sampai 4 kali kalideres-monas 2 kali lewat monas pulogadung belum juga lewat,0
sangat membantu,1
bagus,1
membantu,1
pelayanan yang menyenangkan,1
